Local time,Open,High,Low,Close,Volume
15.07.2003 01:30:00.000 GMT+0430,346.746,348.731,342.692,342.885,6632149.905099998
16.07.2003 01:30:00.000 GMT+0430,342.783,344.022,340.477,342.556,6047645.031299999
17.07.2003 01:30:00.000 GMT+0430,342.801,344.597,341.657,343.184,5996569.9782
18.07.2003 01:30:00.000 GMT+0430,343.160,346.766,342.413,346.422,5614827.959599999
19.07.2003 01:30:00.000 GMT+0430,346.422,346.422,346.422,346.422,0
20.07.2003 01:30:00.000 GMT+0430,346.422,346.422,346.422,346.422,0
21.07.2003 01:30:00.000 GMT+0430,346.132,351.486,345.755,350.721,5387952.9991000015
22.07.2003 01:30:00.000 GMT+0430,350.480,352.316,348.811,350.096,6692507.945200001
23.07.2003 01:30:00.000 GMT+0430,350.122,358.319,349.477,358.095,6704262.069499999
24.07.2003 01:30:00.000 GMT+0430,357.947,361.963,355.993,361.945,7050217.0398
25.07.2003 01:30:00.000 GMT+0430,361.797,362.968,358.815,362.029,6456124.0077
26.07.2003 01:30:00.000 GMT+0430,362.029,362.029,362.029,362.029,0
27.07.2003 01:30:00.000 GMT+0430,362.029,362.029,362.029,362.029,0
28.07.2003 01:30:00.000 GMT+0430,361.764,366.542,360.813,364.059,5405381.0725
29.07.2003 01:30:00.000 GMT+0430,364.012,364.800,360.394,361.068,7162894.934200001
30.07.2003 01:30:00.000 GMT+0430,360.879,361.342,354.374,355.222,6624611.0312
31.07.2003 01:30:00.000 GMT+0430,355.295,357.045,353.035,353.692,6602335.992
01.08.2003 01:30:00.000 GMT+0430,353.696,355.498,348.359,348.359,6100526.015299999
02.08.2003 01:30:00.000 GMT+0430,348.359,348.359,348.359,348.359,0
03.08.2003 01:30:00.000 GMT+0430,348.359,348.359,348.359,348.359,0
04.08.2003 01:30:00.000 GMT+0430,348.095,349.592,346.045,348.074,5747713.018099999
05.08.2003 01:30:00.000 GMT+0430,348.995,351.336,347.648,350.833,9674203.014099995
06.08.2003 01:30:00.000 GMT+0430,351.175,353.005,348.587,351.045,9412759.000400001
07.08.2003 01:30:00.000 GMT+0430,350.884,353.345,348.690,352.395,9290175.0394
08.08.2003 01:30:00.000 GMT+0430,352.395,357.195,351.675,356.295,8240266.9805999985
09.08.2003 01:30:00.000 GMT+0430,356.295,356.295,356.295,356.295,0
10.08.2003 01:30:00.000 GMT+0430,356.295,356.295,356.295,356.295,0
